id,created_at,updated_at,product_code,title,description,model_size,model_height,fabric_stretch,fabric_material,main_fiber_content,care_advice,care_instructions,price,markdown
199,2019-07-26 17:10:54.89501,2019-07-26 17:10:54.89501,1477365,ASOS DESIGN mini slubby cami swing dress with faux wood buttons,,Model wears: UK S/ EU S/ US XS,Model's height: 175cm/5'9,"",Cotton-rich woven fabric,Body: 100% Cotton.,Main: 57% Cotton  43% Viscose.,43% Viscose.,24.0,0.0
200,2019-07-26 17:10:54.898359,2019-07-26 17:10:54.898359,1442319,ASOS DESIGN mini slubby cami swing dress with faux wood buttons,,Model wears: UK 8/ W26,Model's height:  173 cm/5'8,"",Non-stretch denim,"",structured cotton Body: 100% Cotton.,Body: 100% Cotton.,24.0,0.0
201,2019-07-26 17:10:54.90152,2019-07-26 17:10:54.90152,1485926,Wild Honey tie shoulder sun dress,,Model wears: UK S/ EU S/ US XS,Model's height: 173cm/5'8,Everyday T-shirt fabric,Everyday T-shirt fabricBasic in the best way,Body: 100% Cotton.,"","",64.0,0.0
202,2019-07-26 17:10:54.90484,2019-07-26 17:10:54.90484,1470437,The North Face 92 Rage heavyweight long sleeve top in white,,Model wears: UK XS/ EU XS/ US XS,Model's height: 175 cm/5'9,"",Soft-touch jersey,"",in other words Body: 100% Cotton.,Body: 100% Cotton.,40.0,0.0
203,2019-07-26 17:10:54.908454,2019-07-26 17:10:54.908454,1491267,The North Face 92 Rage heavyweight long sleeve top in white,,Model wears: UK S/ EU S/ US XS,Model's height: 178cm/5'10,Go-with-everything jersey,Go-with-everything jerseyIt's a soft all-rounder,Body: 95% Viscose,5% Spandex.,"",40.0,0.0
204,2019-07-26 17:10:54.911978,2019-07-26 17:10:54.911978,1433197,Stradivarius boxy denim jacket in light blue,,Model wears: UK 8/ EU 36/ US 4,Model's height:  180 cm/5'11,Lightweight viscose,Lightweight viscoseSoft and drapey,"",5% Spandex.,"",40.5,0.0
205,2019-07-26 17:10:54.915858,2019-07-26 17:10:54.915858,1400321,adidas Originals adicolor cropped hoodie in white,,Model wears: UK 18/ EU 46/ US 14,Model's height: 170cm/5'7,Stretchy swim fabric,"",Body: 95% Cotton,"","",60.0,0.0
206,2019-07-26 17:10:54.919266,2019-07-26 17:10:54.919266,1392867,Pull&Bear raw hem denim shorts two-piece in beige,,Model wears: UK S/ EU S/ US XS,Model's height: 170cm/5'7,"",Stretch cotton,"",Body: 95% Cotton  5% Spandex.,5% Spandex.,29.9,0.0
207,2019-07-26 17:10:54.922968,2019-07-26 17:10:54.922968,1489304,Peek & Beau Curve Exclusive Eco scoop swimsuit with drawstring channel waist in floral,,Model wears: UK S/ EU S/ US XS,Model's height: 173cm/5'8,Broderie anglaise,Broderie anglaiseEmbroidered eyelet fabricIt's a cute all-rounder,"","","",57.0,0.0
208,2019-07-26 17:10:54.926323,2019-07-26 17:10:54.926323,1476242,ASOS DESIGN Maternity traditional pyjama pants set with piping,,Model wears: UK 8/ EU 36/ US 4,Model's height:  173 cm/5'8,"",Stretch denim,"",Main: 98% Cotton  2% Spandex.,2% Spandex.,45.0,0.0
209,2019-07-26 17:10:54.929916,2019-07-26 17:10:54.929916,1400430,ASOS DESIGN maternity mix & match pyjama jersey pants,,Model wears: UK 18/ EU 46/ US 14,Model's height: 170cm/5'7,Stretchy swim fabric,"","","","",19.0,0.0
210,2019-07-26 17:10:54.933648,2019-07-26 17:10:54.933648,1415537,adidas Originals RYV taping cropped t-shirt in periwinkle,,Model wears: UK 18/ EU 46/ US 14,Model's height: 178cm/5'10,"",Stretch denim,"",Main: 80% Cotton  17% Viscose  3% Spandex.,17% Viscose  3% Spandex.,30.0,0.0
211,2019-07-26 17:10:54.936993,2019-07-26 17:10:54.936993,1394927,ASOS DESIGN kimono maxi dress in linear sequin,,Model wears: UK 18/ EU 46/ US 14,Model's height: 174cm/5'8.5,We partner with the Better Cotton Initiative to improve cotton farming globally,Smooth woven fabricWe partner with the Better Cotton Initiative to improve cotton farming globally This makes it better for farmers and the environment BCI provides farming-practice training It promotes things like water efficiency and reducing the most harmful chemicals,"",3% Spandex.,"",135.0,0.0
212,2019-07-26 17:10:54.940535,2019-07-26 17:10:54.940535,1467059,Wild Honey tie shoulder sun dress,,Model wears: UK 18/ EU 46/ US 14,Model's height:  175 cm/5'9,Drapey woven fabric,Drapey woven fabricThe kind that doesn't stretch,"","","",64.0,0.0
213,2019-07-26 17:10:54.944014,2019-07-26 17:10:54.944014,1485926,Wild Honey tie shoulder sun dress,,Model wears: UK S/ EU S/ US XS,Model's height: 173cm/5'8,Everyday T-shirt fabric,Everyday T-shirt fabricBasic in the best way,"","","",64.0,0.0
214,2019-07-26 17:10:54.959115,2019-07-26 17:10:54.959115,1447083,ASOS DESIGN Petite bias cut satin slip skirt in cherry print,,Model wears: UK S/ EU S/ US XS,Model's height: 173cm/5'8,Smooth woven fabric,Smooth woven fabricUses The North Face FlashDry-XD technologyMoves sweat away from the skin to help keep you dry and comfortableAbrasion and snag-resistant,Body: 100% Cotton.,"","",48.0,0.0
215,2019-07-26 17:10:54.962126,2019-07-26 17:10:54.962126,1421721,Pull&Bear broderie short sleeved top in green,,Model wears: UK S/ EU S/ US S,Model's height: 173cm/5'8,Pure cotton,Pure cottonIt's light and breathable,Body: 100% Cotton.,"","",32.0,0.0
